2.189992368221282959e-02 1.930387876927852631e-02
1.888459175825119019e-02 2.421652711927890778e-02
1.780745945870876312e-02 3.413698449730873108e-02
1.717339083552360535e-02 4.926951229572296143e-02
1.825293339788913727e-02 7.048193365335464478e-02
1.818584464490413666e-02 8.639469742774963379e-02
1.815656758844852448e-02 9.820998460054397583e-02
1.780319027602672577e-02 1.055938377976417542e-01
1.778039336204528809e-02 1.122430860996246338e-01
1.858388260006904602e-02 1.228549256920814514e-01
5.163079500198364258e-02 2.459463626146316528e-01
7.174573838710784912e-02 3.181090354919433594e-01
9.026458114385604858e-02 3.957500457763671875e-01
1.111505329608917236e-01 4.936247766017913818e-01
1.350128203630447388e-01 6.200543642044067383e-01
1.776690185070037842e-01 8.292875289916992188e-01
2.206301093101501465e-01 1.048518180847167969e+00
2.832295894622802734e-01 1.350151300430297852e+00
3.240894675254821777e-01 1.551655173301696777e+00
3.690164983272552490e-01 1.758010983467102051e+00
