2.092310413718223572e-02 1.791177317500114441e-02
1.800361648201942444e-02 2.128335461020469666e-02
1.679192483425140381e-02 2.840742282569408417e-02
1.640935242176055908e-02 3.967751562595367432e-02
1.735064014792442322e-02 5.616771057248115540e-02
1.726208813488483429e-02 6.915090978145599365e-02
1.731112971901893616e-02 7.902468740940093994e-02
1.693500950932502747e-02 8.426608145236968994e-02
1.689559780061244965e-02 8.881296962499618530e-02
1.773903705179691315e-02 9.723518043756484985e-02
4.891297593712806702e-02 2.134275734424591064e-01
6.680779159069061279e-02 2.770310044288635254e-01
8.458974212408065796e-02 3.490422368049621582e-01
1.031623855233192444e-01 4.352123141288757324e-01
1.236623525619506836e-01 5.386335849761962891e-01
1.624698489904403687e-01 7.200844883918762207e-01
2.018230706453323364e-01 9.089588522911071777e-01
2.604368627071380615e-01 1.176900267601013184e+00
3.044374287128448486e-01 1.375557303428649902e+00
3.492996990680694580e-01 1.566653013229370117e+00
